sentence	sentence #	word	tag
sentence1	sentence1	HOUSE	O
sentence1		RENTAL	O
sentence1		AGREEMENT	O
sentence2	sentence2	Rental	O
sentence2		Agreement	O
sentence2		made	O
sentence2		on	O
sentence2		Jan	O
sentence2		10	O
sentence2		2011	O
sentence2		between	O
sentence2		Namashivayam	B-partyone
sentence2		Plat	O
sentence2		No	O
sentence2		182	O
sentence2		Door	O
sentence2		No	O
sentence2		16	O
sentence2		New	O
sentence2		10	O
sentence2		Old	O
sentence2		24th	O
sentence2		East	O
sentence2		Street	O
sentence2		Kamaraj	O
sentence2		Nagar	O
sentence2		Thiruvanmiyur	O
sentence2		Chennai	O
sentence2		hereinafter	O
sentence2		referred	O
sentence2		to	O
sentence2		as	O
sentence2		landlord	O
sentence2		of	O
sentence2		the	O
sentence2		house	O
sentence2		and	O
sentence2		Mrs	B-partytwo
sentence2		Thenmalar	I-partytwo
sentence2		W	O
sentence2		O	O
sentence2		Xavier	O
sentence2		Kottaikadu	O
sentence2		PO	O
sentence2		Vadakadu	O
sentence2		Via	O
sentence2		Pudukkottai	O
sentence2		Dt	O
sentence2		hereinafter	O
sentence2		referred	O
sentence2		to	O
sentence2		as	O
sentence2		tenant	O
sentence2		of	O
sentence2		the	O
sentence2		First	O
sentence2		floor	O
sentence2		portion	O
sentence2		of	O
sentence2		the	O
sentence2		building	O
sentence3	sentence3	WHERE	O
sentence3		IT	O
sentence3		IS	O
sentence3		AGREED	O
sentence3		AND	O
sentence3		DECLARED	O
sentence3		AS	O
sentence3		FOLLOWS	O
sentence4	sentence4	The	O
sentence4		Landlord	O
sentence4		agrees	O
sentence4		to	O
sentence4		let	O
sentence4		out	O
sentence4		and	O
sentence4		the	O
sentence4		tenant	O
sentence4		agrees	O
sentence4		to	O
sentence4		take	O
sentence4		on	O
sentence4		rent	O
sentence4		the	O
sentence4		First	O
sentence4		floor	O
sentence4		portion	O
sentence4		of	O
sentence4		the	O
sentence4		building	O
sentence4		Plat	O
sentence4		No	O
sentence4		182	O
sentence4		Door	O
sentence4		No	O
sentence4		16	O
sentence4		New	O
sentence4		10	O
sentence4		Old	O
sentence4		24th	O
sentence4		East	O
sentence4		Street	O
sentence4		Kamaraj	O
sentence4		Nagar	O
sentence4		Thiruvanmiyur	O
sentence4		along	O
sentence4		with	O
sentence4		electrical	O
sentence4		and	O
sentence4		sanitary	O
sentence4		fittings	O
sentence4		and	O
sentence4		other	O
sentence4		accessories	O
sentence4		fittings	O
sentence4		and	O
sentence4		structures	O
sentence4		hereinafter	O
sentence4		called	O
sentence4		the	O
sentence4		premises	O
sentence4		from	O
sentence4		Jan	B-startdate
sentence4		10	I-startdate
sentence4		2011	I-startdate
sentence4		at	O
sentence4		the	O
sentence4		monthly	O
sentence4		rent	O
sentence4		of	O
sentence4		Rs	O
sentence4		14500	O
sentence4		Fourteen	O
sentence4		thousand	O
sentence4		and	O
sentence4		five	O
sentence4		hundred	O
sentence4		rupees	O
sentence4		being	O
sentence4		payable	O
sentence4		on	O
sentence4		or	O
sentence4		before	O
sentence4		5th	O
sentence4		of	O
sentence4		every	O
sentence4		month	O
sentence4		to	O
sentence4		the	O
sentence4		Landlord	O
sentence4		The	O
sentence4		period	O
sentence4		of	O
sentence4		this	O
sentence4		agreement	O
sentence4		shall	O
sentence4		be	O
sentence4		twelve	B-end
sentence4		months	I-end
sentence4		w	O
sentence4		e	O
sentence4		f	O
sentence4		Jan	O
sentence4		10	O
sentence4		2011	O
sentence5	sentence5	The	O
sentence5		tenant	O
sentence5		has	O
sentence5		paid	O
sentence5		Rs	B-value
sentence5		100000	I-value
sentence5		0ne	B-value
sentence5		lack	I-value
sentence5		Rupees	I-value
sentence5		as	O
sentence5		advance	O
sentence5		amount	O
sentence5		for	O
sentence5		the	O
sentence5		above	O
sentence5		building	O
sentence5		and	O
sentence5		the	O
sentence5		landlord	O
sentence5		shall	O
sentence5		pay	O
sentence5		this	O
sentence5		said	O
sentence5		advance	O
sentence5		without	O
sentence5		interest	O
sentence5		to	O
sentence5		the	O
sentence5		tenant	O
sentence5		at	O
sentence5		the	O
sentence5		time	O
sentence5		of	O
sentence5		vacating	O
sentence5		the	O
sentence5		premises	O
sentence5		or	O
sentence5		within	O
sentence5		12	B-end
sentence5		months	I-end
sentence5		of	O
sentence5		commencement	O
sentence5		of	O
sentence5		this	O
sentence5		agreement	O
sentence5		whichever	O
sentence5		is	O
sentence5		earlier	O
sentence6	sentence6	At	O
sentence6		the	O
sentence6		termination	O
sentence6		of	O
sentence6		the	O
sentence6		period	O
sentence6		of	O
sentence6		tenancy	O
sentence6		the	O
sentence6		tenant	O
sentence6		agrees	O
sentence6		to	O
sentence6		surrender	O
sentence6		to	O
sentence6		the	O
sentence6		Landlord	O
sentence6		the	O
sentence6		vacant	O
sentence6		possession	O
sentence6		of	O
sentence6		the	O
sentence6		premises	O
sentence6		without	O
sentence6		raising	O
sentence6		any	O
sentence6		objection	O
sentence7	sentence7	This	O
sentence7		rental	O
sentence7		agreement	O
sentence7		can	O
sentence7		be	O
sentence7		terminated	O
sentence7		at	O
sentence7		any	O
sentence7		time	O
sentence7		by	O
sentence7		three	B-notice
sentence7		months	I-notice
sentence7		notice	O
sentence7		on	O
sentence7		either	O
sentence7		side	O
sentence7		and	O
sentence7		on	O
sentence7		such	O
sentence7		termination	O
sentence7		the	O
sentence7		tenant	O
sentence7		shall	O
sentence7		surrender	O
sentence7		the	O
sentence7		vacant	O
sentence7		possession	O
sentence7		of	O
sentence7		the	O
sentence7		premises	O
sentence7		to	O
sentence7		the	O
sentence7		Landlord	O
sentence8	sentence8	If	O
sentence8		for	O
sentence8		by	O
sentence8		any	O
sentence8		reason	O
sentence8		the	O
sentence8		tenant	O
sentence8		occupies	O
sentence8		the	O
sentence8		building	O
sentence8		for	O
sentence8		a	O
sentence8		period	O
sentence8		that	O
sentence8		includes	O
sentence8		part	O
sentence8		of	O
sentence8		a	O
sentence8		month	O
sentence8		it	O
sentence8		is	O
sentence8		agreed	O
sentence8		that	O
sentence8		the	O
sentence8		rent	O
sentence8		will	O
sentence8		be	O
sentence8		charged	O
sentence8		on	O
sentence8		a	O
sentence8		pro	O
sentence8		rated	O
sentence8		basis	O
sentence8		for	O
sentence8		that	O
sentence8		month	O
sentence9	sentence9	The	O
sentence9		landlord	O
sentence9		shall	O
sentence9		pay	O
sentence9		all	O
sentence9		existing	O
sentence9		and	O
sentence9		future	O
sentence9		taxes	O
sentence9		rates	O
sentence9		and	O
sentence9		assessments	O
sentence9		in	O
sentence9		respect	O
sentence9		of	O
sentence9		the	O
sentence9		lease	O
sentence9		hold	O
sentence9		including	O
sentence9		the	O
sentence9		municipal	O
sentence9		or	O
sentence9		other	O
sentence9		tax	O
sentence9		assessed	O
sentence9		by	O
sentence9		a	O
sentence9		local	O
sentence9		authority	O
sentence9		on	O
sentence9		the	O
sentence9		value	O
sentence9		of	O
sentence9		the	O
sentence9		building	O
sentence9		or	O
sentence9		annual	O
sentence9		letting	O
sentence9		value	O
sentence9		of	O
sentence9		the	O
sentence9		building	O
sentence9		and	O
sentence9		all	O
sentence9		other	O
sentence9		rates	O
sentence9		taxes	O
sentence9		and	O
sentence9		assessments	O
sentence9		levied	O
sentence9		by	O
sentence9		any	O
sentence9		authority	O
sentence9		whatsoever	O
sentence10	sentence10	The	O
sentence10		tenant	O
sentence10		shall	O
sentence10		pay	O
sentence10		the	O
sentence10		electricity	O
sentence10		and	O
sentence10		water	O
sentence10		supply	O
sentence10		charges	O
sentence10		for	O
sentence10		the	O
sentence10		period	O
sentence10		of	O
sentence10		time	O
sentence10		he	O
sentence10		occupies	O
sentence10		the	O
sentence10		premises	O
sentence11	sentence11	The	O
sentence11		tenant	O
sentence11		agrees	O
sentence11		to	O
sentence11		leave	O
sentence11		at	O
sentence11		the	O
sentence11		end	O
sentence11		of	O
sentence11		tenancy	O
sentence11		the	O
sentence11		premises	O
sentence11		in	O
sentence11		good	O
sentence11		condition	O
sentence11		as	O
sentence11		they	O
sentence11		are	O
sentence11		now	O
sentence11		subject	O
sentence11		to	O
sentence11		reasonable	O
sentence11		wear	O
sentence11		and	O
sentence11		tear	O
sentence12	sentence12	The	O
sentence12		tenant	O
sentence12		also	O
sentence12		agreed	O
sentence12		not	O
sentence12		to	O
sentence12		let	O
sentence12		out	O
sentence12		the	O
sentence12		building	O
sentence12		or	O
sentence12		a	O
sentence12		portion	O
sentence12		of	O
sentence12		it	O
sentence12		to	O
sentence12		anybody	O
sentence12		else	O
sentence13	sentence13	The	O
sentence13		tenant	O
sentence13		shall	O
sentence13		not	O
sentence13		commit	O
sentence13		any	O
sentence13		act	O
sentence13		of	O
sentence13		waste	O
sentence13		in	O
sentence13		the	O
sentence13		premises	O
sentence14	sentence14	11	O
sentence14		The	O
sentence14		tenant	O
sentence14		also	O
sentence14		agrees	O
sentence14		to	O
sentence14		make	O
sentence14		any	O
sentence14		maintenance	O
sentence14		on	O
sentence14		the	O
sentence14		building	O
sentence14		as	O
sentence14		mutually	O
sentence14		agreed	O
sentence14		upon	O
sentence14		by	O
sentence14		the	O
sentence14		tenant	O
sentence14		and	O
sentence14		the	O
sentence14		landlord	O
sentence14		and	O
sentence14		the	O
sentence14		said	O
sentence14		expenses	O
sentence14		shall	O
sentence14		be	O
sentence14		adjusted	O
sentence14		against	O
sentence14		the	O
sentence14		rent	O
sentence14		amount	O
sentence14		due	O
sentence14		to	O
sentence14		the	O
sentence14		landlord	O
sentence15	sentence15	12	O
sentence15		The	O
sentence15		landlord	O
sentence15		shall	O
sentence15		retain	O
sentence15		the	O
sentence15		original	O
sentence15		of	O
sentence15		this	O
sentence15		agreement	O
sentence15		and	O
sentence15		the	O
sentence15		tenant	O
sentence15		shall	O
sentence15		retain	O
sentence15		its	O
sentence15		duplicate	O
sentence16	sentence16	WITNESS	O
sentence16		WHERE	O
sentence16		OF	O
sentence16		Namashivayam	O
sentence16		the	O
sentence16		landlord	O
sentence16		and	O
sentence16		Mrs	O
sentence16		Thenmalar	O
sentence16		the	O
sentence16		tenant	O
sentence16		have	O
sentence16		affixed	O
sentence16		their	O
sentence16		signatures	O
sentence16		on	O
sentence16		Jan	O
sentence16		10	O
sentence16		2011	O
sentence17	sentence17	Land	O
sentence17		Lord	O
sentence18	sentence18	Tenant	O
sentence19	sentence19	Witness	O
sentence20	sentence20	ROOM	O
sentence20		RENTAL	O
sentence20		AGREEMENT	O
sentence21	sentence21	This	O
sentence21		is	O
sentence21		a	O
sentence21		legally	O
sentence21		binding	O
sentence21		agreement	O
sentence21		It	O
sentence21		is	O
sentence21		intended	O
sentence21		to	O
sentence21		promote	O
sentence21		household	O
sentence21		harmony	O
sentence21		by	O
sentence21		clarifying	O
sentence21		die	O
sentence21		expectations	O
sentence21		and	O
sentence21		responsibilities	O
sentence21		of	O
sentence21		the	O
sentence21		homeowner	O
sentence21		or	O
sentence21		Principal	O
sentence21		Tenant	O
sentence21		Landlords	O
sentence21		and	O
sentence21		Tenant	O
sentence21		when	O
sentence21		they	O
sentence21		share	O
sentence21		the	O
sentence21		same	O
sentence21		home	O
sentence21		The	O
sentence21		term	O
sentence21		xe2	O
sentence21		x80	O
sentence21		x9cLandlord	O
sentence21		xe2	O
sentence21		x80	O
sentence21		x9d	O
sentence21		refers	O
sentence21		to	O
sentence21		either	O
sentence21		homeowner	O
sentence21		or	O
sentence21		Principal	O
sentence21		Tenant	O
sentence22	sentence22	Landlord	O
sentence22		shall	O
sentence22		provide	O
sentence22		a	O
sentence22		copy	O
sentence22		of	O
sentence22		this	O
sentence22		executed	O
sentence22		signed	O
sentence22		document	O
sentence22		to	O
sentence22		the	O
sentence22		Tenant	O
sentence22		as	O
sentence22		required	O
sentence22		by	O
sentence22		law	O
sentence23	sentence23	Terms	O
sentence24	sentence24	Length	O
sentence24		of	O
sentence24		Agreement	O
sentence24		Month	O
sentence24		to	O
sentence24		Month	O
sentence25	sentence25	Either	O
sentence25		party	O
sentence25		may	O
sentence25		cancel	O
sentence25		or	O
sentence25		change	O
sentence25		terms	O
sentence25		of	O
sentence25		this	O
sentence25		agreement	O
sentence25		upon	O
sentence25		thirty	O
sentence25		30	B-notice
sentence25		days	I-notice
sentence25		WRITTEN	O
sentence25		notice	O
sentence25		The	O
sentence25		notice	O
sentence25		period	O
sentence25		may	O
sentence25		be	O
sentence25		lengthened	O
sentence25		or	O
sentence25		shortened	O
sentence25		by	O
sentence25		WRITTEN	O
sentence25		agreement	O
sentence25		but	O
sentence25		no	O
sentence25		less	O
sentence25		than	O
sentence25		7	O
sentence25		days	O
sentence26	sentence26	Rent	O
sentence27	sentence27	y	O
sentence27		k0_0	O
sentence27		t_	O
sentence27		is	O
sentence27		payable	O
sentence27		monthly	O
sentence27		on	O
sentence27		the	O
sentence27		tLh	O
sentence27		tday	O
sentence27		of	O
sentence27		the	O
sentence27		month	O
sentence27		to	O
sentence28	sentence28	Rent	O
sentence28		jS	O
sentence28		does	O
sentence28		CJdoes	O
sentence28		not	O
sentence28		include	O
sentence28		utilities	O
sentence28		If	O
sentence28		it	O
sentence28		does	O
sentence28		not	O
sentence28		utility	O
sentence28		bills	O
sentence28		will	O
sentence28		be	O
sentence28		apportioned	O
sentence28		as	O
sentence28		follows	O
sentence29	sentence29	Gas	O
sentence29		Electricity	O
sentence29		Tenant	O
sentence29		pays	O
sentence29		t0	O
sentence29		o	O
sentence29		of	O
sentence29		monthly	O
sentence29		bill	O
sentence30	sentence30	D	O
sentence30		Water	O
sentence30		Garbage	O
sentence30		Tenant	O
sentence30		pays	O
sentence30		t	O
sentence30		xc2	O
sentence30		xb0	O
sentence30		o	O
sentence30		of	O
sentence30		monthly	O
sentence30		bill	O
sentence31	sentence31	Phone	O
sentence31		Tenant	O
sentence31		pays	O
sentence31		t0	O
sentence31		o	O
sentence31		of	O
sentence31		monthly	O
sentence31		bill	O
sentence31		plus	O
sentence31		personal	O
sentence31		long	O
sentence31		distance	O
sentence31		calls	O
sentence32	sentence32	D	O
sentence32		Other	O
sentence32		t	O
sentence32		tTenant	O
sentence32		pays	O
sentence32		xe2	O
sentence32		x80	O
sentence32		x9e	O
sentence32		t0	O
sentence32		o	O
sentence32		of	O
sentence32		monthly	O
sentence32		bill	O
sentence33	sentence33	Conflict	O
sentence33		Resolution	O
sentence34	sentence34	Each	O
sentence34		housemate	O
sentence34		will	O
sentence34		strive	O
sentence34		to	O
sentence34		develop	O
sentence34		mutual	O
sentence34		cooperation	O
sentence34		with	O
sentence34		all	O
sentence34		other	O
sentence34		housemates	O
sentence34		Should	O
sentence34		disagreements	O
sentence34		arise	O
sentence34		each	O
sentence34		shall	O
sentence34		try	O
sentence34		to	O
sentence34		resolve	O
sentence34		the	O
sentence34		dispute	O
sentence34		in	O
sentence34		good	O
sentence34		faith	O
sentence34		using	O
sentence34		clear	O
sentence34		communication	O
sentence34		If	O
sentence34		disputes	O
sentence34		continue	O
sentence34		thereafter	O
sentence34		the	O
sentence34		housemates	O
sentence34		agree	O
sentence34		to	O
sentence34		the	O
sentence34		following	O
sentence34		methods	O
sentence34		of	O
sentence34		conflict	O
sentence34		resolution	O
sentence35	sentence35	D	O
sentence35		Decision	O
sentence35		by	O
sentence35		household	O
sentence35		consensus	O
sentence35		D	O
sentence35		Mediation	O
sentence35		by	O
sentence35		impartial	O
sentence35		third	O
sentence35		party	O
sentence35		xe2	O
sentence35		x96	O
sentence35		xa1	O
sentence35		Decision	O
sentence35		by	O
sentence35		household	O
sentence35		majority	O
sentence35		vote	O
sentence36	sentence36	Privacy	O
sentence37	sentence37	As	O
sentence37		required	O
sentence37		by	O
sentence37		law	O
sentence37		die	O
sentence37		landlord	O
sentence37		may	O
sentence37		enter	O
sentence37		the	O
sentence37		tenant	O
sentence37		s	O
sentence37		room	O
sentence37		only	O
sentence37		for	O
sentence37		the	O
sentence37		following	O
sentence37		reasons	O
sentence37		a	O
sentence37		in	O
sentence37		case	O
sentence37		of	O
sentence37		emergency	O
sentence37		b	O
sentence37		to	O
sentence37		make	O
sentence37		necessary	O
sentence37		or	O
sentence37		agreed	O
sentence37		upon	O
sentence37		repairs	O
sentence37		decorations	O
sentence37		or	O
sentence37		improvements	O
sentence37		supply	O
sentence37		necessary	O
sentence37		or	O
sentence37		agreed	O
sentence37		upon	O
sentence37		services	O
sentence37		or	O
sentence37		exhibit	O
sentence37		the	O
sentence37		dwelling	O
sentence37		unit	O
sentence37		to	O
sentence37		prospective	O
sentence37		or	O
sentence37		actual	O
sentence37		purchasers	O
sentence37		mortgagees	O
sentence37		tenants	O
sentence37		workers	O
sentence37		or	O
sentence37		contractors	O
sentence37		c	O
sentence37		when	O
sentence37		the	O
sentence37		tenant	O
sentence37		has	O
sentence37		abandoned	O
sentence37		or	O
sentence37		surrendered	O
sentence37		the	O
sentence37		premises	O
sentence37		or	O
sentence37		d	O
sentence37		pursuant	O
sentence37		to	O
sentence37		court	O
sentence37		order	O
